month_year,operator_name,internet_subscribers
2022-04-01,Globacom,39899863
2022-04-01,MTN,61811952
2022-05-01,Airtel,41397855
2022-05-01,T2,5378618
2022-05-01,Globacom,39905618
2022-05-01,MTN,63099031
2022-06-01,Airtel,41778975
2022-06-01,T2,5238133
2022-06-01,Globacom,39905618
2022-06-01,MTN,63820107
2022-07-01,Airtel,41390668
2022-07-01,T2,5033824
2022-07-01,Globacom,41250551
2022-07-01,MTN,63751924
2022-08-01,Airtel,41183227
2022-08-01,T2,4886363
2022-08-01,Globacom,41752146
2022-08-01,MTN,63891256
2022-09-01,Airtel,41098559
2022-09-01,T2,4778159
2022-09-01,Globacom,42276801
2022-09-01,MTN,64067438
2022-10-01,Airtel,40123843
2022-10-01,T2,5107716
2022-10-01,Globacom,42405603
2022-10-01,MTN,64511814
2022-11-01,Airtel,40111068
2022-11-01,T2,4508460
2022-11-01,Globacom,42758863
2022-11-01,MTN,64942008
2022-12-01,Airtel,41174942
2022-12-01,T2,4432816
2022-12-01,Globacom,43050005
2022-12-01,MTN,65619610
2023-01-01,Airtel,41787462
2023-01-01,T2,4381678
2023-01-01,Globacom,43062234
2023-01-01,MTN,66443804
2023-02-01,Airtel,41898501
2023-02-01,T2,4339827
2023-02-01,Globacom,43402810
2023-02-01,MTN,66779743
2023-03-01,Airtel,42254797
2023-03-01,T2,4286543
2023-03-01,Globacom,43425200
2023-03-01,MTN,67022683
2023-04-01,Airtel,42533104
2023-04-01,T2,4178101
2023-04-01,Globacom,43452666
2023-04-01,MTN,67503837
2023-05-01,Airtel,43251470
2023-05-01,T2,4114838
2023-05-01,Globacom,43701201
2023-05-01,MTN,67970519
2023-06-01,Airtel,43108556
2023-06-01,T2,3979090
2023-06-01,Globacom,43920105
2023-06-01,MTN,67936909
2023-07-01,Airtel,42992293
2023-07-01,T2,3973838
2023-07-01,Globacom,43940201
2023-07-01,MTN,68076630
2023-08-01,Airtel,42961821
2023-08-01,T2,3940471
2023-08-01,Globacom,43968102
2023-08-01,MTN,68033612
2023-09-01,Airtel,43142286
2023-09-01,T2,3907085
2023-09-01,Globacom,43981204
2023-09-01,MTN,68573680
2023-10-01,Airtel,43577902
2023-10-01,T2,3880500
2023-10-01,Globacom,43982301
2023-10-01,MTN,69092304
2023-11-01,Airtel,44064840
2023-11-01,T2,3819110
2023-11-01,Globacom,43960152
2023-11-01,MTN,69632580
2023-12-01,Airtel,45064857
2023-12-01,T2,3630796
2023-12-01,Globacom,43998101
2023-12-01,MTN,70659889
2024-01-01,Airtel,45955792
2024-01-01,T2,3535972
2024-01-01,Globacom,44190414
2024-01-01,MTN,67822212
2024-02-01,Airtel,46408565
2024-02-01,T2,3438526
2024-02-01,Globacom,44325123
2024-02-01,MTN,68636612
2024-03-01,Airtel,46819616
2024-03-01,T2,3308493
2024-03-01,Globacom,44380117
2024-03-01,MTN,69386959
2024-04-01,Airtel,46664475
2024-04-01,T2,3079082
2024-04-01,Globacom,44205011
2024-04-01,MTN,70075039
2024-05-01,Airtel,46452299
2024-05-01,T2,2777899
2024-05-01,Globacom,16868553
2024-05-01,MTN,70462953
2024-06-01,Airtel,46090830
2024-06-01,T2,2613410
2024-06-01,Globacom,16548004
2024-06-01,MTN,70690031
2024-07-01,Airtel,45923379
2024-07-01,T2,2499392
2024-07-01,Globacom,16556928
2024-07-01,MTN,69456034
2024-08-01,Airtel,44202894
2024-08-01,T2,2499392
2024-08-01,Globacom,16716816
2024-08-01,MTN,67527219
2024-09-01,Airtel,44796352
2024-09-01,T2,2293028
2024-09-01,Globacom,16923207
2024-09-01,MTN,68393625
2024-10-01,Airtel,45474571
2024-10-01,T2,2167248
2024-10-01,Globacom,17108094
2024-10-01,MTN,69529588
2024-11-01,Airtel,46170734
2024-11-01,T2,2064533
2024-11-01,Globacom,17194141
2024-11-01,MTN,70603190
2024-12-01,Airtel,47412761
2024-12-01,T2,2064533
2024-12-01,Globacom,17076430
2024-12-01,MTN,72221248
2025-01-01,Airtel,48493868
2025-01-01,T2,2064533
2025-01-01,Globacom,17390369
2025-01-01,MTN,73706817
2025-02-01,Airtel,48534849
2025-02-01,T2,1744537
2025-02-01,Globacom,15496149
2025-02-01,MTN,74965842
2025-03-01,Airtel,48800678
2025-03-01,T2,1744537
2025-03-01,Globacom,15372195
2025-03-01,MTN,75624421
2025-04-01,Airtel,48939722
2025-04-01,T2,1744537
2025-04-01,Globacom,14836046
2025-04-01,MTN,75951066
2025-05-01,Airtel,49456771
2025-05-01,T2,1459233
2025-05-01,Globacom,13870211
2025-05-01,MTN,76264836
2025-06-01,Airtel,49382313
2025-06-01,T2,1081775
2025-06-01,Globacom,13656638
2025-06-01,MTN,76522320
2025-07-01,Airtel,47340443
2025-07-01,T2,1002224
2025-07-01,Globacom,13603285
2025-07-01,MTN,76274099
2025-08-01,Airtel,48418266
2025-08-01,T2,1002224
2025-08-01,Globacom,13672206
2025-08-01,MTN,76696587
2025-09-01,Airtel,48688994
2025-09-01,T2,744044
2025-09-01,Globacom,13685012
2025-09-01,MTN,77240771
2025-10-01,Airtel,49270318
2025-10-01,T2,754962
2025-10-01,Globacom,13829813
2025-10-01,MTN,78149569
2025-11-01,Airtel,50338963
2025-11-01,T2,771035
2025-11-01,Globacom,14214129
2025-11-01,MTN,78827528
2025-12-01,Airtel,52026448
2025-12-01,T2,780237
2025-12-01,Globacom,14846887
2025-12-01,MTN,79865690
